"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C8,C9","0.1uF","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","5",""
"C4,C7","10uF","~","-- mixed values --","2",""
"C5,C6","30pf","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","2",""
"D1","LED","~","LED_THT:LED_D3.0mm","1",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_2.5mm_Pad","4",""
"J1,J2,J3","Conn_01x08_Pin","~","-- mixed values --","3",""
"J4","PowerSource","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J5","PICKitConnector","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J6","USB_B_Micro","~","Roni_Footprints:USB_Mini-B_Tensility_4Holes","1",""
"J7","PGEC_LINES","~","Connector_PinHeader_2.00mm:PinHeader_2x03_P2.00mm_Vertical","1",""
"J8","PGED_LINES","~","Connector_PinHeader_2.00mm:PinHeader_2x03_P2.00mm_Vertical","1",""
"J9","MCLR_LINES","~","Connector_PinHeader_2.00mm:PinHeader_2x03_P2.00mm_Vertical","1",""
"J10","VCC Lines","~","Connector_PinHeader_2.00mm:PinHeader_2x03_P2.00mm_Vertical","1",""
"JP1","Program","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R1","4.7K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","270","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R3,R5","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R4","470R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"SW1","SW_Push","~","Roni_Footprints:SW_PUSH_6mm_2Holes","1",""
"U1","PIC24F","http://ww1.microchip.com/downloads/en/DeviceDoc/41452B.pdf","Package_DIP:DIP-28_W7.62mm","1",""
"U2","PIC16F84","http://ww1.microchip.com/downloads/en/DeviceDoc/30430c.pdf","Package_DIP:DIP-18_W7.62mm","1",""
"U3","LDA33A","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U4","PIC16F1459-IP","http://ww1.microchip.com/downloads/en/DeviceDoc/41639A.pdf","Package_DIP:DIP-20_W7.62mm","1",""
"Y1","Crystal","~","Crystal:Crystal_HC49-U_Vertical","1",""
